File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
6a26d036-55c2-4e68-871a-f0cc434286dd	jhu-usc.edu_UCEC.HumanMethylation450.3.lvl-3.TCGA-BK-A139-02A-11D-A27Y-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-BK-A139	TCGA-BK-A139-02A	Recurrent Tumor
84748241-3723-4da6-9523-b351acba8548	jhu-usc.edu_UCEC.HumanMethylation450.3.lvl-3.TCGA-BK-A0CA-01A-21D-A123-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-BK-A0CA	TCGA-BK-A0CA-01A	Primary Tumor
ab5a8200-eb3c-4dd2-a5bc-f75f0d8019a7	jhu-usc.edu_UCEC.HumanMethylation450.15.lvl-3.TCGA-AJ-A3EK-01A-11D-A19Z-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-AJ-A3EK	TCGA-AJ-A3EK-01A	Primary Tumor
9c9dc0ca-e453-4ba7-9209-89bb92ebe1d5	jhu-usc.edu_UCEC.HumanMethylation450.18.lvl-3.TCGA-AP-A5FX-01A-11D-A27Y-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-AP-A5FX	TCGA-AP-A5FX-01A	Primary Tumor
be342bf7-197f-43b6-9351-c96a9a5ff7f6	jhu-usc.edu_UCEC.HumanMethylation450.5.lvl-3.TCGA-AX-A1C5-01A-11D-A138-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-AX-A1C5	TCGA-AX-A1C5-01A	Primary Tumor
a74cfa60-e9dd-4c86-adf4-21c724cdab81	jhu-usc.edu_UCEC.HumanMethylation450.15.lvl-3.TCGA-BG-A0MK-01A-51D-A19Z-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-BG-A0MK	TCGA-BG-A0MK-01A	Primary Tumor
3b1a9e48-7a12-4adb-8e19-e58d50ba32bc	jhu-usc.edu_UCEC.HumanMethylation450.22.lvl-3.TCGA-PG-A914-01A-11D-A37Q-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-PG-A914	TCGA-PG-A914-01A	Primary Tumor
8cc60f6e-5e15-46ed-b497-3428832edea2	jhu-usc.edu_UCEC.HumanMethylation450.17.lvl-3.TCGA-BG-A3PP-01A-11D-A22B-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-BG-A3PP	TCGA-BG-A3PP-01A	Primary Tumor
6bcdaef3-f6a2-4114-aa51-3132edcfb56b	jhu-usc.edu_UCEC.HumanMethylation450.13.lvl-3.TCGA-H5-A2HR-01A-11D-A17Z-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-H5-A2HR	TCGA-H5-A2HR-01A	Primary Tumor
91eec3df-83f5-47ef-9efb-f07227701d77	jhu-usc.edu_UCEC.HumanMethylation450.1.lvl-3.TCGA-BG-A0W1-01A-12D-A10A-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-BG-A0W1	TCGA-BG-A0W1-01A	Primary Tumor
