File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
20315854-cb7d-49de-b0b9-28739ae78fdd	jhu-usc.edu_KIRC.HumanMethylation450.4.lvl-3.TCGA-B0-4815-11A-02D-1500-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-B0-4815	TCGA-B0-4815-11A	Solid Tissue Normal
97448673-a4f0-4472-84e7-96ce20ce1e46	jhu-usc.edu_KIRC.HumanMethylation450.4.lvl-3.TCGA-CZ-4863-01A-01D-1500-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-CZ-4863	TCGA-CZ-4863-01A	Primary Tumor
97737dde-3622-4d0f-9001-4623ba653053	jhu-usc.edu_KIRC.HumanMethylation450.1.lvl-3.TCGA-B0-4690-11A-01D-1275-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-B0-4690	TCGA-B0-4690-11A	Solid Tissue Normal
ae2d3f57-373a-4a7a-8cf1-dff33e384d5e	jhu-usc.edu_KIRC.HumanMethylation450.1.lvl-3.TCGA-B0-4718-01A-01D-1275-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-B0-4718	TCGA-B0-4718-01A	Primary Tumor
26041bec-3fd3-4770-a663-25d31d8760ab	jhu-usc.edu_KIRC.HumanMethylation450.5.lvl-3.TCGA-B8-5546-01A-01D-1536-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-B8-5546	TCGA-B8-5546-01A	Primary Tumor
b3deda19-4a9a-44a8-bc28-2097659c4368	jhu-usc.edu_KIRC.HumanMethylation450.5.lvl-3.TCGA-B0-5705-01A-11D-1536-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-B0-5705	TCGA-B0-5705-01A	Primary Tumor
c8010f87-98e5-4fb3-8074-70246e94ed9e	jhu-usc.edu_KIRC.HumanMethylation450.1.lvl-3.TCGA-B0-4713-11A-01D-1275-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-B0-4713	TCGA-B0-4713-11A	Solid Tissue Normal
320d55dd-0f20-4f13-ab3c-5616efe878ab	jhu-usc.edu_KIRC.HumanMethylation450.5.lvl-3.TCGA-DV-5575-01A-01D-1536-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-DV-5575	TCGA-DV-5575-01A	Primary Tumor
6c98c0b3-b9b1-44ff-a0b6-1a3426c377fc	jhu-usc.edu_KIRC.HumanMethylation450.6.lvl-3.TCGA-CW-5580-01A-01D-1670-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-CW-5580	TCGA-CW-5580-01A	Primary Tumor
e0f10bd7-77c0-4e10-9c42-6e7b90bc20ee	jhu-usc.edu_KIRC.HumanMethylation450.4.lvl-3.TCGA-CZ-5451-11A-01D-1500-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-CZ-5451	TCGA-CZ-5451-11A	Solid Tissue Normal
630d57b4-092c-4946-aaa0-1438c98b5b01	jhu-usc.edu_KIRC.HumanMethylation450.2.lvl-3.TCGA-BP-4782-01A-02D-1418-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-BP-4782	TCGA-BP-4782-01A	Primary Tumor
b1f62244-5443-46bb-9840-f4e8e6dc33e4	jhu-usc.edu_KIRC.HumanMethylation450.4.lvl-3.TCGA-CZ-5469-01A-01D-1500-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-CZ-5469	TCGA-CZ-5469-01A	Primary Tumor
68d65bf5-8f8f-4228-87fd-a846f60a8ad6	jhu-usc.edu_KIRC.HumanMethylation450.3.lvl-3.TCGA-CJ-4897-11A-01D-1424-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-CJ-4897	TCGA-CJ-4897-11A	Solid Tissue Normal
d67d0130-6461-4063-b82d-debacf1442a2	jhu-usc.edu_KIRP.HumanMethylation450.4.lvl-3.TCGA-G7-7502-01A-11D-2202-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRP	TCGA-G7-7502	TCGA-G7-7502-01A	Primary Tumor
30030173-63b0-48a6-a84a-5692c5ddc42b	jhu-usc.edu_KICH.HumanMethylation450.1.lvl-3.TCGA-KM-8441-01A-11D-2312-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KICH	TCGA-KM-8441	TCGA-KM-8441-01A	Primary Tumor
71037a01-dcb7-41fb-a5b2-7ab2cda1942d	jhu-usc.edu_KICH.HumanMethylation450.1.lvl-3.TCGA-KN-8421-01A-11D-2312-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KICH	TCGA-KN-8421	TCGA-KN-8421-01A	Primary Tumor
214af961-bd9f-46ee-8f13-4f46f6f46f38	jhu-usc.edu_KICH.HumanMethylation450.1.lvl-3.TCGA-KO-8411-01A-11D-2312-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KICH	TCGA-KO-8411	TCGA-KO-8411-01A	Primary Tumor
f1af269f-7026-4281-872f-1903607d32e6	jhu-usc.edu_KIRP.HumanMethylation450.8.lvl-3.TCGA-A4-A5Y1-01A-11D-A28O-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRP	TCGA-A4-A5Y1	TCGA-A4-A5Y1-01A	Primary Tumor
