File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
31dcc1f6-a418-46b9-8846-a9bf1bc7d808	jhu-usc.edu_LIHC.HumanMethylation450.9.lvl-3.TCGA-K7-A5RG-01A-11D-A28Y-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-K7-A5RG	TCGA-K7-A5RG-01A	Primary Tumor
d2733e01-6f93-40f4-9b1d-815941b86e8a	jhu-usc.edu_LIHC.HumanMethylation450.3.lvl-3.TCGA-G3-A25Z-01A-11D-A16X-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-G3-A25Z	TCGA-G3-A25Z-01A	Primary Tumor
fe086987-c944-42d8-ad77-275661154b9b	jhu-usc.edu_LIHC.HumanMethylation450.18.lvl-3.TCGA-WQ-A9G7-01A-11D-A36Y-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-WQ-A9G7	TCGA-WQ-A9G7-01A	Primary Tumor
f88b23b2-4db6-46e4-b762-23b35cac410d	jhu-usc.edu_LIHC.HumanMethylation450.13.lvl-3.TCGA-UB-A7MA-01A-11D-A341-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-UB-A7MA	TCGA-UB-A7MA-01A	Primary Tumor
e0e9f44e-d03a-442c-a330-a91d0e23749a	jhu-usc.edu_LIHC.HumanMethylation450.10.lvl-3.TCGA-DD-A4NS-01A-11D-A30Y-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A4NS	TCGA-DD-A4NS-01A	Primary Tumor
d6c5df0a-1272-497a-b1da-96aa766d30dd	jhu-usc.edu_LIHC.HumanMethylation450.7.lvl-3.TCGA-DD-A4ND-01A-11D-A264-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A4ND	TCGA-DD-A4ND-01A	Primary Tumor
e0b2d408-4393-4863-b174-e690f852f68e	jhu-usc.edu_LIHC.HumanMethylation450.15.lvl-3.TCGA-2Y-A9H2-01A-12D-A383-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-2Y-A9H2	TCGA-2Y-A9H2-01A	Primary Tumor
3568a939-0eac-4784-8649-13a55e4c2b2f	jhu-usc.edu_LIHC.HumanMethylation450.18.lvl-3.TCGA-G3-AAV6-01A-21D-A36Y-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-G3-AAV6	TCGA-G3-AAV6-01A	Primary Tumor
53592c21-04e5-4c20-84db-086e0956226f	jhu-usc.edu_LIHC.HumanMethylation450.1.lvl-3.TCGA-BC-A10Z-11A-11D-A132-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BC-A10Z	TCGA-BC-A10Z-11A	Solid Tissue Normal
3a52d673-4b1e-4ddf-8889-4df908434161	jhu-usc.edu_LIHC.HumanMethylation450.19.lvl-3.TCGA-DD-AACC-01A-11D-A40S-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-AACC	TCGA-DD-AACC-01A	Primary Tumor
ff1a6922-f175-4997-8d32-991740049a2c	jhu-usc.edu_LIHC.HumanMethylation450.5.lvl-3.TCGA-DD-A1EK-01A-11D-A20Z-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A1EK	TCGA-DD-A1EK-01A	Primary Tumor
310ca9f1-a733-40ca-9bd3-600e919a2ed4	jhu-usc.edu_LIHC.HumanMethylation450.14.lvl-3.TCGA-ED-A7PX-01A-51D-A356-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-ED-A7PX	TCGA-ED-A7PX-01A	Primary Tumor
66264801-5445-4cb9-80f4-34760a18951a	jhu-usc.edu_LIHC.HumanMethylation450.1.lvl-3.TCGA-BC-A10X-11A-11D-A132-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BC-A10X	TCGA-BC-A10X-11A	Solid Tissue Normal
0e4e2bdb-df2b-417b-99eb-365b32abd7e9	jhu-usc.edu_LIHC.HumanMethylation450.11.lvl-3.TCGA-MI-A75E-01A-11D-A32R-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-MI-A75E	TCGA-MI-A75E-01A	Primary Tumor
ba524ae5-3bff-4d51-9c08-896092e879a5	jhu-usc.edu_LIHC.HumanMethylation450.19.lvl-3.TCGA-DD-AADN-01A-11D-A40S-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-AADN	TCGA-DD-AADN-01A	Primary Tumor
395c2220-21b2-4802-9c82-f6fafe3b07bc	jhu-usc.edu_LIHC.HumanMethylation450.1.lvl-3.TCGA-BC-A10Q-11A-11D-A132-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BC-A10Q	TCGA-BC-A10Q-11A	Solid Tissue Normal
2edef4bd-fd3d-4d17-9880-3184c7e2ff75	jhu-usc.edu_LIHC.HumanMethylation450.14.lvl-3.TCGA-G3-A7M7-01A-12D-A356-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-G3-A7M7	TCGA-G3-A7M7-01A	Primary Tumor
cb351e28-0343-4998-9554-3d80bff0e568	jhu-usc.edu_LIHC.HumanMethylation450.2.lvl-3.TCGA-DD-A1EL-11A-11D-A153-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A1EL	TCGA-DD-A1EL-11A	Solid Tissue Normal
89751a91-12e7-412f-8339-950724a3d962	jhu-usc.edu_LIHC.HumanMethylation450.18.lvl-3.TCGA-YA-A8S7-01A-11D-A36Y-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-YA-A8S7	TCGA-YA-A8S7-01A	Primary Tumor
3381034c-4d79-4794-96c0-6ecb4c54faf3	jhu-usc.edu_CHOL.HumanMethylation450.1.lvl-3.TCGA-W5-AA38-01A-11D-A418-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-CHOL	TCGA-W5-AA38	TCGA-W5-AA38-01A	Primary Tumor
962faae9-7e33-4d24-82c6-c6d8d7091097	jhu-usc.edu_LIHC.HumanMethylation450.19.lvl-3.TCGA-DD-AAEA-01A-11D-A40S-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-AAEA	TCGA-DD-AAEA-01A	Primary Tumor
5faad569-80d7-4c0f-ad69-bdf600008821	jhu-usc.edu_LIHC.HumanMethylation450.14.lvl-3.TCGA-ED-A7XP-01A-11D-A356-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-ED-A7XP	TCGA-ED-A7XP-01A	Primary Tumor
