File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
c03d97a7-4183-40be-acbd-4c1fec36fed9	jhu-usc.edu_PRAD.HumanMethylation450.18.lvl-3.TCGA-V1-A9ZG-01A-11D-A41L-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-PRAD	TCGA-V1-A9ZG	TCGA-V1-A9ZG-01A	Primary Tumor
6f6d9423-8620-415f-8162-26e6dc0a101e	jhu-usc.edu_PRAD.HumanMethylation450.15.lvl-3.TCGA-J9-A8CL-01A-11D-A34V-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-PRAD	TCGA-J9-A8CL	TCGA-J9-A8CL-01A	Primary Tumor
3b0937c5-9ee4-47f4-ae1e-08edad881b28	jhu-usc.edu_PRAD.HumanMethylation450.1.lvl-3.TCGA-CH-5746-01A-11D-1578-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-PRAD	TCGA-CH-5746	TCGA-CH-5746-01A	Primary Tumor
761417f8-2db9-4ff3-8012-76c13803990a	jhu-usc.edu_PRAD.HumanMethylation450.16.lvl-3.TCGA-EJ-A8FO-01A-21D-A365-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-PRAD	TCGA-EJ-A8FO	TCGA-EJ-A8FO-01A	Primary Tumor
11fe1fd9-d232-4f21-afe6-57155f272412	jhu-usc.edu_PRAD.HumanMethylation450.15.lvl-3.TCGA-EJ-A7NJ-01A-22D-A34V-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-PRAD	TCGA-EJ-A7NJ	TCGA-EJ-A7NJ-01A	Primary Tumor
b1439430-1bcf-4354-b236-62fc3cd541b1	jhu-usc.edu_PRAD.HumanMethylation450.1.lvl-3.TCGA-CH-5766-01A-11D-1578-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-PRAD	TCGA-CH-5766	TCGA-CH-5766-01A	Primary Tumor
5f494899-b9bc-4708-9326-4409b3b7d9f7	jhu-usc.edu_PRAD.HumanMethylation450.5.lvl-3.TCGA-HC-8265-01B-04D-2299-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-PRAD	TCGA-HC-8265	TCGA-HC-8265-01B	Primary Tumor
1c8544c6-d44e-4475-83ed-a951b8ff0c54	jhu-usc.edu_PRAD.HumanMethylation450.4.lvl-3.TCGA-EJ-7785-01A-11D-2116-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-PRAD	TCGA-EJ-7785	TCGA-EJ-7785-01A	Primary Tumor
a3de098a-2c2d-4611-aeb0-1b5bf1e04bf3	jhu-usc.edu_PRAD.HumanMethylation450.14.lvl-3.TCGA-EJ-A6RA-01A-11D-A33U-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-PRAD	TCGA-EJ-A6RA	TCGA-EJ-A6RA-01A	Primary Tumor
df8b140d-f125-4641-bfcb-7a61682512cc	jhu-usc.edu_PRAD.HumanMethylation450.17.lvl-3.TCGA-YL-A8SB-01A-31D-A378-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-PRAD	TCGA-YL-A8SB	TCGA-YL-A8SB-01A	Primary Tumor
