File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
70ca2dd3-6f83-4ec6-bf27-f146ab0897ef	jhu-usc.edu_BRCA.HumanMethylation450.13.lvl-3.TCGA-D8-A1Y1-01A-21D-A14N-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-D8-A1Y1	TCGA-D8-A1Y1-01A	Primary Tumor
9a9bad41-e441-4774-b45d-a863a68d80be	jhu-usc.edu_BRCA.HumanMethylation450.22.lvl-3.TCGA-EW-A1PC-01B-11D-A21R-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-EW-A1PC	TCGA-EW-A1PC-01B	Primary Tumor
031d0a76-fa51-4c53-b381-f3807abb7c49	jhu-usc.edu_BRCA.HumanMethylation450.8.lvl-3.TCGA-A7-A13F-01A-11D-A12R-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-A7-A13F	TCGA-A7-A13F-01A	Primary Tumor
a28d6b95-70f1-42a7-ae56-f7ccf7dd461b	jhu-usc.edu_BRCA.HumanMethylation450.31.lvl-3.TCGA-AC-A6IX-06A-11D-A32T-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AC-A6IX	TCGA-AC-A6IX-06A	Metastatic
564ad113-c735-47d1-be7f-bce206ec1727	jhu-usc.edu_BRCA.HumanMethylation450.27.lvl-3.TCGA-A2-A4S3-01A-21D-A268-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-A2-A4S3	TCGA-A2-A4S3-01A	Primary Tumor
3d0773ec-2256-4a74-a6b3-fabd4cfd2fee	jhu-usc.edu_BRCA.HumanMethylation450.36.lvl-3.TCGA-AC-A5EI-01A-11D-A27Y-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AC-A5EI	TCGA-AC-A5EI-01A	Primary Tumor
1b0a57be-6553-4b3b-a248-85053a8415f9	jhu-usc.edu_BRCA.HumanMethylation450.4.lvl-3.TCGA-B6-A0RT-01A-21D-A10P-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-B6-A0RT	TCGA-B6-A0RT-01A	Primary Tumor
666e008b-2dfe-4b7a-96db-e2a8f85078ed	jhu-usc.edu_BRCA.HumanMethylation450.4.lvl-3.TCGA-B6-A0RP-01A-21D-A10P-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-B6-A0RP	TCGA-B6-A0RP-01A	Primary Tumor
529a37a9-4a93-454f-aa7f-8f809201ed61	jhu-usc.edu_BRCA.HumanMethylation450.11.lvl-3.TCGA-EW-A1OZ-01A-11D-A145-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-EW-A1OZ	TCGA-EW-A1OZ-01A	Primary Tumor
4253a295-12ea-497c-ad0a-7f8ceecdd1ce	jhu-usc.edu_BRCA.HumanMethylation450.14.lvl-3.TCGA-AC-A23H-01A-11D-A161-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AC-A23H	TCGA-AC-A23H-01A	Primary Tumor
