File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
25a0fe49-2282-493d-9a31-9bb373beed30	jhu-usc.edu_THCA.HumanMethylation450.3.lvl-3.TCGA-FE-A233-01A-11D-A14Z-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-FE-A233	TCGA-FE-A233-01A	Primary Tumor
9fd748d9-60d7-496e-b50a-5b04dd82057f	jhu-usc.edu_THCA.HumanMethylation450.7.lvl-3.TCGA-EL-A3CL-01A-11D-A19K-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-EL-A3CL	TCGA-EL-A3CL-01A	Primary Tumor
ecc4940c-640e-4aae-b5a9-ede93121478e	jhu-usc.edu_THCA.HumanMethylation450.7.lvl-3.TCGA-ET-A39P-01A-21D-A19K-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-ET-A39P	TCGA-ET-A39P-01A	Primary Tumor
cddbabf8-820e-4723-b25e-ba4c1457eda6	jhu-usc.edu_THCA.HumanMethylation450.15.lvl-3.TCGA-BJ-A45F-01A-12D-A23V-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-BJ-A45F	TCGA-BJ-A45F-01A	Primary Tumor
2aa7f5a3-f2a0-4026-be42-29b3b8073ccf	jhu-usc.edu_THCA.HumanMethylation450.16.lvl-3.TCGA-DJ-A4UW-01A-11D-A258-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-DJ-A4UW	TCGA-DJ-A4UW-01A	Primary Tumor
c232f035-29b0-4fb9-a872-61f0e6f63693	jhu-usc.edu_THCA.HumanMethylation450.14.lvl-3.TCGA-FY-A40M-01A-11D-A23O-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-FY-A40M	TCGA-FY-A40M-01A	Primary Tumor
1bb0b1ef-ee92-42ff-bba2-3f41bf0855a2	jhu-usc.edu_THCA.HumanMethylation450.14.lvl-3.TCGA-IM-A41Z-01A-11D-A23O-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-IM-A41Z	TCGA-IM-A41Z-01A	Primary Tumor
ba5746a3-5eac-4242-bc71-8e7351424322	jhu-usc.edu_THCA.HumanMethylation450.8.lvl-3.TCGA-EL-A3CR-01A-12D-A203-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-EL-A3CR	TCGA-EL-A3CR-01A	Primary Tumor
624a6511-5285-4344-8f21-c89b3276d878	jhu-usc.edu_THCA.HumanMethylation450.9.lvl-3.TCGA-EL-A3GZ-01A-11D-A211-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-EL-A3GZ	TCGA-EL-A3GZ-01A	Primary Tumor
18d1e37b-39cd-4c96-a642-3460ca9cd5d2	jhu-usc.edu_THCA.HumanMethylation450.12.lvl-3.TCGA-FE-A3PB-01A-11D-A223-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-FE-A3PB	TCGA-FE-A3PB-01A	Primary Tumor
2debf30f-f31c-43da-a6c3-842d7b049bea	jhu-usc.edu_THCA.HumanMethylation450.5.lvl-3.TCGA-H2-A2K9-01A-11D-A17Y-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-H2-A2K9	TCGA-H2-A2K9-01A	Primary Tumor
25c2e240-ad0e-4875-8352-6d4c9a4400ed	jhu-usc.edu_THCA.HumanMethylation450.2.lvl-3.TCGA-DO-A1JZ-11A-11D-A13Z-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-DO-A1JZ	TCGA-DO-A1JZ-11A	Solid Tissue Normal
ee5dbf4f-9a39-42af-8a7e-946e48d8a6e6	jhu-usc.edu_THCA.HumanMethylation450.8.lvl-3.TCGA-EL-A3GX-01A-11D-A203-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-EL-A3GX	TCGA-EL-A3GX-01A	Primary Tumor
